# Energy_meV Original Background Corrected FinalWeight
-2.757111797949239644e+02 2.809012330620992031e-10 nan nan nan
-2.747921425289408717e+02 2.949068995299144597e-10 nan nan nan
-2.738731052629577789e+02 3.060050617794668933e-10 nan nan nan
-2.729540679969747430e+02 3.145426490322867765e-10 nan nan nan
-2.720350307309916502e+02 3.203040469547579106e-10 nan nan nan
-2.711159934650086143e+02 3.354793569849244507e-10 nan nan nan
-2.701969561990254647e+02 3.506399491752334888e-10 nan nan nan
-2.692779189330424288e+02 3.621604692124239611e-10 nan nan nan
-2.683588816670593360e+02 3.710176362136884442e-10 nan nan nan
-2.674398444010762432e+02 3.815357088532135235e-10 nan nan nan
-2.665208071350931505e+02 3.900912735542253813e-10 nan nan nan
-2.656017698691100577e+02 4.004028122868902533e-10 nan nan nan
-2.646827326031270218e+02 4.136662214102931523e-10 nan nan nan
-2.637636953371439290e+02 4.460890214507299189e-10 nan nan nan
-2.628446580711608362e+02 4.594563532703747791e-10 nan nan nan
-2.619256208051777435e+02 4.639508655844124729e-10 nan nan nan
-2.610065835391947076e+02 4.783385256544752989e-10 nan nan nan
-2.600875462732116148e+02 5.035951129241076920e-10 nan nan nan
-2.591685090072285220e+02 5.134046084380435002e-10 nan nan nan
-2.582494717412454293e+02 5.531452222068037275e-10 nan nan nan
-2.573304344752623933e+02 5.702701693460066771e-10 nan nan nan
-2.564113972092793006e+02 5.970408322930410389e-10 nan nan nan
-2.554923599432962078e+02 6.199417876279316322e-10 nan nan nan
-2.545733226773131150e+02 6.168159841720197604e-10 nan nan nan
-2.536542854113300507e+02 6.463454287369689865e-10 nan nan nan
-2.527352481453469579e+02 6.734024231388618390e-10 nan nan nan
-2.518162108793638936e+02 6.717704128456288107e-10 nan nan nan
-2.508971736133808008e+02 6.789409820855475827e-10 nan nan nan
-2.499781363473977365e+02 7.337414840568397623e-10 nan nan nan
-2.490590990814146721e+02 7.879560898806335890e-10 nan nan nan
-2.481400618154315794e+02 8.230792495778197166e-10 nan nan nan
-2.472210245494484866e+02 8.518504902873933791e-10 nan nan nan
-2.463019872834653938e+02 8.804602072922874223e-10 nan nan nan
-2.453829500174823295e+02 8.930488398298417461e-10 nan nan nan
-2.444639127514992367e+02 9.435973931025471489e-10 nan nan nan
-2.435448754855161724e+02 1.010075614366105336e-09 nan nan nan
-2.426258382195330796e+02 1.028673840464816846e-09 nan nan nan
-2.417068009535500153e+02 1.045929052617772935e-09 nan nan nan
-2.407877636875669509e+02 1.116291217608095729e-09 nan nan nan
-2.398687264215838582e+02 1.164015021711365987e-09 nan nan nan
-2.389496891556007654e+02 1.192354908869070267e-09 nan nan nan
-2.380306518896176726e+02 1.245617175158560820e-09 nan nan nan
-2.371116146236346083e+02 1.284192942538357105e-09 nan nan nan
-2.361925773576515155e+02 1.369664120340144478e-09 nan nan nan
-2.352735400916684512e+02 1.417241259030116036e-09 nan nan nan
-2.343545028256853868e+02 1.422651760876791417e-09 nan nan nan
-2.334354655597022941e+02 1.541926832832545810e-09 nan nan nan
-2.325164282937192297e+02 1.666120250815691807e-09 nan nan nan
-2.315973910277361369e+02 1.762499559806932290e-09 nan nan nan
-2.306783537617530442e+02 1.848661886541095513e-09 nan nan nan
-2.297593164957699514e+02 1.932486819083109698e-09 nan nan nan
-2.288402792297868871e+02 2.040419506051615846e-09 nan nan nan
-2.279212419638037943e+02 2.108647403806109204e-09 nan nan nan
-2.270022046978207300e+02 2.156662242966552082e-09 nan nan nan
-2.260831674318376656e+02 2.256866423338808725e-09 nan nan nan
-2.251641301658545729e+02 2.391963749316234758e-09 nan nan nan
-2.242450928998715085e+02 2.490278516421266184e-09 nan nan nan
-2.233260556338884157e+02 2.616339502864016018e-09 nan nan nan
-2.224070183679053230e+02 2.739052048241822024e-09 nan nan nan
-2.214879811019222302e+02 2.793535023653762642e-09 nan nan nan
-2.205689438359391659e+02 2.976918147197148873e-09 nan nan nan
-2.196499065699561015e+02 3.060354208617407334e-09 nan nan nan
-2.187308693039730088e+02 3.124455842355818512e-09 nan nan nan
-2.178118320379899444e+02 3.292632309651352248e-09 nan nan nan
-2.168927947720068516e+02 3.438692354040905678e-09 nan nan nan
-2.159737575060237873e+02 3.547412777151898691e-09 nan nan nan
-2.150547202400406945e+02 3.799181465246527448e-09 nan nan nan
-2.141356829740576018e+02 4.027192391577038578e-09 nan nan nan
-2.132166457080745090e+02 4.387421589600942826e-09 nan nan nan
-2.122976084420914447e+02 4.577007772624758120e-09 nan nan nan
-2.113785711761083803e+02 4.802875094368744593e-09 nan nan nan
-2.104595339101252875e+02 4.988647374032637632e-09 nan nan nan
-2.095404966441422232e+02 5.158642467856338204e-09 nan nan nan
-2.086214593781591304e+02 5.318852366225352459e-09 nan nan nan
-2.077024221121760661e+02 5.544725029229509103e-09 nan nan nan
-2.067833848461929733e+02 5.704446079908201558e-09 nan nan nan
-2.058643475802098806e+02 5.851764450919312234e-09 nan nan nan
-2.049453103142268162e+02 5.948466916290813116e-09 nan nan nan
-2.040262730482437235e+02 6.055439846366312080e-09 nan nan nan
-2.031072357822606591e+02 6.113450634005519475e-09 nan nan nan
-2.021881985162775663e+02 6.164689161627343975e-09 nan nan nan
-2.012691612502945020e+02 6.522018811884508160e-09 nan nan nan
-2.003501239843114092e+02 6.603071143507753831e-09 nan nan nan
-1.994310867183283449e+02 6.648109368812557411e-09 nan nan nan
-1.985120494523452521e+02 7.058451223588157107e-09 nan nan nan
-1.975930121863621878e+02 7.319084635154923473e-09 nan nan nan
-1.966739749203790950e+02 7.599399121375955649e-09 nan nan nan
-1.957549376543960022e+02 7.941308164692270764e-09 nan nan nan
-1.948359003884129379e+02 8.235930094672638539e-09 nan nan nan
-1.939168631224298451e+02 8.515909728405161501e-09 nan nan nan
-1.929978258564467808e+02 8.961420278883680331e-09 nan nan nan
-1.920787885904636880e+02 9.252639211893997937e-09 nan nan nan
-1.911597513244806237e+02 9.462788907796745354e-09 nan nan nan
-1.902407140584975593e+02 9.844517022620782183e-09 nan nan nan
